YearMonth,Region,Creditcard cases,Creditcard price[NTD]
201401,臺灣,4519449,11304482636
201402,臺灣,4059370,9345298831
201403,臺灣,4672507,11095794770
201404,臺灣,4523407,10458131591
201405,臺灣,4763441,11167286570
201406,臺灣,4658319,11068194232
201407,臺灣,4968661,11698574276
201408,臺灣,4806955,10886977819
201409,臺灣,4976371,11521161276
201410,臺灣,5170091,13830519679
201411,臺灣,5059878,13125716209
201412,臺灣,6177648,14823861307
201501,臺灣,5579543,13457520813
201502,臺灣,4751887,10838485413
201503,臺灣,6139163,14114486372
201504,臺灣,5612006,12647823901
201505,臺灣,5519022,12672812578
201506,臺灣,5891334,13544909862
201507,臺灣,5854706,13464877359
201508,臺灣,5852310,13075150448
201509,臺灣,5802104,13216494565
201510,臺灣,6092097,15915948216
201511,臺灣,6377515,14645181964
201512,臺灣,7027279,16245534242
201601,臺灣,6897002,15884591111
201602,臺灣,5576337,12620641676
201603,臺灣,7541120,17448983829
201604,臺灣,6777188,14928599180
201605,臺灣,7593971,16736525000
201606,臺灣,7220143,16199848010
201607,臺灣,6952711,15562619698
201608,臺灣,7822537,17314522250
201609,臺灣,7148091,16812821741
201610,臺灣,7626376,18156039277
201611,臺灣,8368304,19073362266
201612,臺灣,8318490,19155374319
201701,臺灣,7761758,17958869960
201702,臺灣,7181049,15901354885
201703,臺灣,9481735,20550703945
201704,臺灣,7621449,16413937873
201705,臺灣,8703913,18197895781
201706,臺灣,8514215,18062163688
201707,臺灣,8611113,17731849726
201708,臺灣,9233115,18908388623
201709,臺灣,9024912,19592542139
201710,臺灣,9303809,19831683375
201711,臺灣,10635986,23317844469
201712,臺灣,10422040,21597619918
201801,臺灣,11031652,23168437905
201802,臺灣,8163971,17707576479
201803,臺灣,9554392,21934866477
201804,臺灣,9961180,19752365169
201805,臺灣,11042553,22348309112
201806,臺灣,10464629,21170892619
201807,臺灣,11708611,23084464702
201808,臺灣,11765953,22886279772
201809,臺灣,10536549,21821114676
201810,臺灣,12750198,25582646694
201811,臺灣,13781967,28349109730
201812,臺灣,12928036,27833387232
201901,臺灣,14803105,31464393925
201902,臺灣,10706442,21386255067
201903,臺灣,13308532,27017074347
201904,臺灣,14135746,28534660906
201905,臺灣,14759716,29478411450
201906,臺灣,13798204,26332789220
201907,臺灣,16921997,32315104148
201908,臺灣,16481737,30505575806
201909,臺灣,17222816,31757601872
201910,臺灣,19325715,34739536219
201911,臺灣,20461259,35656621117
201912,臺灣,23119930,40485806968
202001,臺灣,21017566,37331497685
202002,臺灣,18830264,28856926548
202003,臺灣,25109156,32829340586
202004,臺灣,25784123,30095056191
202005,臺灣,23733674,30780430244
202006,臺灣,25513431,34891108127
202007,臺灣,26323546,35892052141
202008,臺灣,26157460,38993853476
202009,臺灣,26399717,41343067764
202010,臺灣,27659357,37871217810
202011,臺灣,31172710,45387441233
202012,臺灣,30917840,45639342217
202101,臺灣,30698036,43159023800
202102,臺灣,33459889,44736472505
202103,臺灣,43533826,46261092856
202104,臺灣,40022475,41266194719
202105,臺灣,49845988,48231188709
202106,臺灣,52756001,52220074022
202107,臺灣,55316264,52704771152
202108,臺灣,58933103,58138132818
202109,臺灣,55409812,57517933561
202110,臺灣,58311252,55500100972
202111,臺灣,61472348,61219015267
202112,臺灣,60857534,60086078749
202201,臺灣,61824658,58524863605
202202,臺灣,54108816,55626572875
202203,臺灣,64246276,57157236762
202204,臺灣,62094797,54244881339
202205,臺灣,67307353,57909557869
202206,臺灣,66741511,58521736398
202207,臺灣,67126802,59020881661
202208,臺灣,71035280,69262958296
202209,臺灣,68440702,67911562058
202210,臺灣,71184747,70374144647
202211,臺灣,70132758,72194019223
